IP,abuseipdb_is_whitelisted,abuseipdb_confidence_score,abuseipdb_country_code,abuseipdb_isp,abuseipdb_domain,abuseipdb_total_reports,abuseipdb_num_distinct_users,abuseipdb_last_reported_at,virustotal_reputation,virustotal_regional_internet_registry,virustotal_as_owner,harmless,malicious,suspicious,undetected,IBM_score,IBM_average history Score,IBM_most common score,virustotal_asn,SHODAN_asn,SHODAN_isp,ALIENVAULT_reputation,ALIENVAULT_asn,score_average_Mobat
103.143.171.228,FALSE,0,ID,PT. Rak Super Ninja,ninjaserver.co.id,324,179,2024-01-22T17:25:59+00:00,-1.0,APNIC,PT. Rak Super Ninja,55.0,88.0,98.0,80.0,2.9,3.5,1.0,AS139400,None,None,FALSE,AS139400 pt. rak super ninja,46.128.571.428.571.400
104.248.131.9,FALSE,89,DE,DigitalOcean LLC,digitalocean.com,1,1,2024-01-21T20:44:29+00:00,-3.0,RIPE NCC,DIGITALOCEAN-ASN,59.0,92.0,98.0,80.0,1.0,3.1,1.0,AS14061,None,None,FALSE,AS14061 digitalocean  llc,5.942.857.142.857.140
110.49.76.244,FALSE,0,TH,Advanced Info Service Public Company Limited,ais.co.th,869,338,2024-01-26T14:11:11+00:00,-1.0,APNIC,SBN-ISPAWN-ISP and SBN-NIXAWN-NIX,56.0,89.0,97.0,81.0,2.9,2.2,1.0,AS45458,None,None,FALSE,AS45458 sbn-isp/awn-isp and sbn-nix/awn-nix,4.641.428.571.428.570
111.252.68.154,FALSE,100,TW,Chunghwa Telecom Co. Ltd.,cht.com.tw,0,0,2023-06-03T05:34:17+00:00,0.0,APNIC,Data Communication Business Group,65.0,99.0,100.0,77.0,1.0,1.4,1.0,AS3462,None,None,FALSE,AS3462 data communication business group,63.142.857.142.857.100
111.70.28.86,FALSE,100,TW,Chunghwa Telecom Co. Ltd.,cht.com.tw,0,0,2023-11-18T09:01:10+00:00,0.0,APNIC,Mobile Business Group,64.0,99.0,100.0,76.0,1.0,1.0,1.0,AS17421,None,None,FALSE,AS17421 mobile business group,62.857.142.857.142.800
118.151.209.21,FALSE,100,IN,YASHTEL Yashash Cable Network Pvt Ltd,yashtel.co.in,0,0,2023-11-08T15:33:34+00:00,-1.0,APNIC,27134 lakshmi building adipampa road v.v.mohalla,59.0,92.0,99.0,79.0,1.0,1.9,1.0,AS131210,None,None,FALSE,AS131210 2713/4 lakshmi building adipampa road v.v.mohalla,61.285.714.285.714.200
118.69.55.101,FALSE,99,VN,FPT Telecom,fpt.com.vn,0,0,2023-12-07T20:46:36+00:00,-13.0,APNIC,FPT Telecom Company,60.0,93.0,98.0,80.0,1.0,3.8,5.7,AS18403,None,None,FALSE,AS18403 fpt telecom company,59.714.285.714.285.700
118.70.180.188,FALSE,0,VN,FPT Telecom,fpt.com.vn,858,393,2024-01-26T17:27:05+00:00,-1.0,APNIC,FPT Telecom Company,51.0,83.0,98.0,81.0,2.9,3.9,4.3,AS18403,AS18403,FPT Telecom Company,FALSE,AS18403 fpt telecom company,4.498.571.428.571.420
119.6.55.57,FALSE,0,CN,China Unicom Sichuan Province Network,chinaunicom.com,190,66,2024-01-26T10:38:58+00:00,0.0,APNIC,CHINA UNICOM China169 Backbone,55.0,87.0,100.0,79.0,4.3,3.3,1.0,AS4837,None,None,FALSE,AS4837 china unicom china169 backbone,46.471.428.571.428.500
121.178.197.60,FALSE,100,KR,KT Corporation,kt.com,0,0,2023-07-27T08:20:35+00:00,0.0,APNIC,Korea Telecom,60.0,94.0,100.0,77.0,1.0,1.0,1.0,AS4766,None,None,FALSE,AS4766 korea telecom,61.714.285.714.285.700
122.160.115.28,FALSE,100,IN,Bharti Airtel Ltd.,airtel.in,0,0,2023-11-09T10:17:36+00:00,0.0,APNIC,"Bharti Airtel Ltd., Telemedia Services",62.0,96.0,100.0,77.0,1.0,1.3,1.0,AS24560,None,None,FALSE,AS24560 bharti airtel ltd.,62.285.714.285.714.200
122.169.103.121,FALSE,97,IN,Bharti Airtel Ltd.,airtel.in,7,1,2024-01-03T06:15:11+00:00,-1.0,APNIC,"Bharti Airtel Ltd., Telemedia Services",61.0,96.0,99.0,77.0,1.0,1.0,1.0,AS24560,None,None,FALSE,AS24560 bharti airtel ltd.,6.142.857.142.857.140
122.180.255.195,FALSE,100,IN,Bharti Airtel Ltd.,airtel.in,0,0,2023-11-09T10:17:41+00:00,0.0,APNIC,"Bharti Airtel Ltd., Telemedia Services",63.0,98.0,100.0,76.0,1.0,1.0,1.0,AS24560,None,None,FALSE,AS24560 bharti airtel ltd.,6.257.142.857.142.850
122.225.203.106,FALSE,0,CN,Kangda Automobile Co. Ltd.Zhejiang,chinatelecom.com.cn,323,103,2024-01-26T18:21:57+00:00,0.0,APNIC,Chinanet,54.0,86.0,99.0,80.0,4.3,1.3,1.0,AS4134,None,None,FALSE,AS4134 chinanet,4.618.571.428.571.420
123.195.33.169,FALSE,100,TW,Kbro Co. Ltd.,kbro.com.tw,0,0,2023-11-30T00:05:36+00:00,-1.0,APNIC,kbro CO. Ltd.,62.0,96.0,100.0,77.0,2.9,2.4,1.0,AS38841,None,None,FALSE,AS38841 kbro co. ltd.,6.241.428.571.428.570
123.200.19.117,FALSE,100,BD,Corporate Subscriber,link3.net,0,0,2023-10-03T21:40:31+00:00,0.0,APNIC,Link3 Technologies Ltd.,65.0,98.0,100.0,78.0,1.0,1.4,1.0,AS23688,None,None,FALSE,AS23688 link3 technologies ltd.,63.142.857.142.857.100
123.4.184.65,FALSE,100,CN,China Unicom Henan Province Network,chinaunicom.com,0,0,2023-06-03T18:10:37+00:00,0.0,APNIC,CHINA UNICOM China169 Backbone,61.0,96.0,100.0,76.0,1.0,1.0,1.0,AS4837,None,None,FALSE,AS4837 china unicom china169 backbone,62.0
124.156.208.56,FALSE,100,JP,Tencent Cloud Computing (Beijing) Co. Ltd.,tencent.com,0,0,2023-11-30T00:06:04+00:00,-1.0,APNIC,"Tencent Building, Kejizhongyi Avenue",62.0,95.0,100.0,78.0,1.0,1.5,1.0,AS132203,AS132203,"Tencent Building, Kejizhongyi Avenue",FALSE,AS132203 tencent building  kejizhongyi avenue,62.142.857.142.857.100
125.99.241.130,FALSE,0,IN,Hathway Cable and Datacom Limited,hathway.com,184,74,2024-01-26T07:01:47+00:00,0.0,APNIC,Hathway IP Over Cable Internet,55.0,87.0,99.0,80.0,4.3,3.6,5.7,AS17488,None,None,FALSE,AS17488 hathway ip over cable internet,46.471.428.571.428.500
130.162.42.103,FALSE,0,DE,Oracle Public Cloud,oracle.com,1481,517,2024-01-26T17:38:46+00:00,-1.0,RIPE NCC,ORACLE-BMC-31898,58.0,90.0,98.0,81.0,2.9,2.6,1.0,AS31898,None,None,FALSE,AS31898 oracle corporation,4.698.571.428.571.420
138.68.58.138,FALSE,100,US,DigitalOcean LLC,digitalocean.com,0,0,2023-11-30T00:13:56+00:00,-1.0,ARIN,DIGITALOCEAN-ASN,61.0,94.0,98.0,80.0,1.0,1.0,1.0,AS14061,None,None,FALSE,AS14061 digitalocean  llc,61.857.142.857.142.800
138.91.3.70,FALSE,100,JP,Microsoft Corporation,microsoft.com,0,0,2023-07-01T23:57:44+00:00,0.0,APNIC,MICROSOFT-CORP-MSN-AS-BLOCK,65.0,98.0,100.0,78.0,1.0,1.0,1.0,AS8075,None,None,FALSE,AS8075 microsoft corporation,63.142.857.142.857.100
139.99.118.168,FALSE,100,SG,OVH Singapore Pte. Ltd,ovh.com,0,0,2023-06-13T15:59:44+00:00,0.0,APNIC,OVH SAS,64.0,99.0,100.0,76.0,1.0,1.5,1.0,AS16276,None,None,FALSE,AS16276 ovh sas,62.857.142.857.142.800
14.56.196.9,FALSE,100,KR,KT Corporation,kt.com,0,0,2023-11-01T17:39:34+00:00,0.0,APNIC,Korea Telecom,60.0,94.0,100.0,77.0,4.3,1.4,1.0,AS4766,None,None,FALSE,AS4766 korea telecom,6.218.571.428.571.420
141.98.10.132,FALSE,0,LT,UAB Host Baltic,serveroffer.lt,82,41,2024-01-03T14:27:32+00:00,-1.0,RIPE NCC,UAB Host Baltic,55.0,86.0,100.0,80.0,5.7,3.3,1.0,AS209605,None,None,FALSE,AS209605 uab host baltic,46.528.571.428.571.400
141.98.10.172,FALSE,100,LT,UAB Host Baltic,serveroffer.lt,0,0,2023-11-08T17:38:35+00:00,-3.0,RIPE NCC,UAB Host Baltic,61.0,95.0,100.0,77.0,1.0,3.5,1.0,AS209605,None,None,FALSE,AS209605 uab host baltic,6.157.142.857.142.850
141.98.11.112,FALSE,98,LT,UAB Host Baltic,serveroffer.lt,1,1,2023-12-27T18:24:18+00:00,-1.0,RIPE NCC,UAB Host Baltic,64.0,96.0,99.0,80.0,1.0,1.7,1.0,AS209605,None,None,FALSE,AS209605 uab host baltic,6.242.857.142.857.140
141.98.11.54,FALSE,89,LT,UAB Host Baltic,serveroffer.lt,12,1,2024-01-24T18:25:04+00:00,-1.0,RIPE NCC,UAB Host Baltic,62.0,96.0,98.0,79.0,1.0,1.2,1.0,AS209605,None,None,FALSE,AS209605 uab host baltic,6.057.142.857.142.850
141.98.11.55,FALSE,96,LT,UAB Host Baltic,serveroffer.lt,12,1,2024-01-24T18:25:05+00:00,0.0,RIPE NCC,UAB Host Baltic,62.0,95.0,99.0,79.0,1.0,1.4,1.0,AS209605,None,None,FALSE,AS209605 uab host baltic,61.714.285.714.285.700
141.98.11.67,FALSE,91,LT,UAB Host Baltic,serveroffer.lt,1,1,2023-12-27T21:47:47+00:00,0.0,RIPE NCC,UAB Host Baltic,64.0,97.0,100.0,78.0,1.0,1.2,1.0,AS209605,None,None,FALSE,AS209605 uab host baltic,6.157.142.857.142.850
141.98.11.84,FALSE,91,LT,UAB Host Baltic,serveroffer.lt,0,0,2023-12-20T18:25:34+00:00,0.0,RIPE NCC,UAB Host Baltic,63.0,96.0,99.0,79.0,1.0,1.5,1.0,AS209605,None,None,FALSE,AS209605 uab host baltic,61.285.714.285.714.200
142.93.58.158,FALSE,100,US,DigitalOcean LLC,digitalocean.com,0,0,2023-11-08T15:40:48+00:00,-1.0,ARIN,DIGITALOCEAN-ASN,64.0,97.0,99.0,79.0,4.3,2.8,4.3,AS14061,None,None,FALSE,AS14061 digitalocean  llc,6.318.571.428.571.420
143.198.146.239,FALSE,0,US,DigitalOcean LLC,digitalocean.com,1374,517,2024-01-26T18:07:46+00:00,-1.0,ARIN,DIGITALOCEAN-ASN,55.0,88.0,98.0,80.0,2.9,3.1,1.0,AS14061,None,None,FALSE,AS14061 digitalocean  llc,46.128.571.428.571.400
146.19.169.228,FALSE,100,DE,Xsserver GmbH,xsserver.gmbh,0,0,2023-11-08T15:42:04+00:00,-1.0,RIPE NCC,SkyLink Data Center BV,64.0,96.0,98.0,81.0,2.9,3.0,1.0,AS44592,None,None,FALSE,AS44592 skylink data center bv,6.298.571.428.571.420
146.190.38.28,FALSE,0,US,DigitalOcean LLC,digitalocean.com,1478,559,2024-01-26T17:12:03+00:00,-1.0,ARIN,DIGITALOCEAN-ASN,57.0,89.0,98.0,81.0,8.6,4.0,1.0,AS14061,AS14061,"DigitalOcean, LLC",FALSE,AS14061 digitalocean  llc,4.751.428.571.428.570
149.127.190.57,FALSE,100,SG,Citis Cloud Group Limited,zoneidc.com,0,0,2023-05-16T06:45:48+00:00,0.0,APNIC,CITIS CLOUD GROUP LIMITED,64.0,99.0,100.0,76.0,1.0,1.0,1.0,AS140107,None,None,FALSE,AS140107 citis cloud group limited,62.857.142.857.142.800
152.89.196.144,FALSE,98,GB,Starcrecium Limited,starcrecium.com,3,1,2024-01-19T13:57:50+00:00,0.0,None,None,0.0,100.0,100.0,100.0,1.0,5.2,1.0,None,None,None,FALSE,ASNone,57.0
157.230.17.29,FALSE,90,DE,DigitalOcean LLC,digitalocean.com,5,1,2024-01-07T07:08:02+00:00,-1.0,RIPE NCC,DIGITALOCEAN-ASN,58.0,91.0,98.0,80.0,1.0,2.5,1.0,AS14061,None,None,FALSE,AS14061 digitalocean  llc,5.957.142.857.142.850
157.245.156.72,FALSE,100,SG,DigitalOcean LLC,digitalocean.com,0,0,2023-11-30T00:24:32+00:00,-1.0,APNIC,DIGITALOCEAN-ASN,64.0,98.0,100.0,77.0,1.0,2.6,1.0,AS14061,None,None,FALSE,AS14061 digitalocean  llc,62.714.285.714.285.700
158.69.111.17,FALSE,99,CA,Web Hosting Capa,ip-158-69-111.net,0,0,2023-12-07T20:56:36+00:00,-1.0,ARIN,OVH SAS,60.0,94.0,98.0,79.0,1.0,4.5,1.0,AS16276,None,None,FALSE,AS16276 ovh sas,6.142.857.142.857.140
162.243.145.20,FALSE,0,US,DigitalOcean LLC,digitalocean.com,165,59,2024-01-26T17:56:14+00:00,0.0,ARIN,DIGITALOCEAN-ASN,57.0,89.0,100.0,79.0,2.9,5.7,1.0,AS14061,AS14061,"DigitalOcean, LLC",FALSE,AS14061 digitalocean  llc,4.684.285.714.285.710
165.154.232.105,FALSE,100,TH,SCloud Pte Ltd,scloud.sg,0,0,2023-11-30T00:30:43+00:00,-1.0,APNIC,Scloud Pte Ltd,61.0,94.0,99.0,79.0,1.0,1.7,1.0,AS142002,None,None,FALSE,AS142002 scloud pte ltd,61.857.142.857.142.800
165.232.70.143,FALSE,100,DE,DigitalOcean LLC,digitalocean.com,0,0,2023-11-30T00:32:31+00:00,-1.0,RIPE NCC,DIGITALOCEAN-ASN,61.0,94.0,99.0,79.0,1.0,2.7,1.0,AS14061,None,None,FALSE,AS14061 digitalocean  llc,61.857.142.857.142.800
172.105.14.77,FALSE,100,CA,Linode LLC,linode.com,0,0,2023-05-20T22:00:10+00:00,0.0,ARIN,Akamai Connected Cloud,63.0,98.0,100.0,76.0,1.0,1.0,1.0,AS63949,None,None,FALSE,AS63949 linode  llc,6.257.142.857.142.850
172.245.168.229,FALSE,100,US,RackNerd LLC,racknerd.com,0,0,2023-11-08T15:53:29+00:00,-1.0,ARIN,AS-COLOCROSSING,63.0,98.0,99.0,77.0,1.0,1.6,1.0,AS36352,None,None,FALSE,AS36352 colocrossing,6.242.857.142.857.140
175.214.151.9,FALSE,100,KR,KT Corporation,kt.com,0,0,2023-10-22T21:55:09+00:00,0.0,APNIC,Korea Telecom,59.0,92.0,98.0,80.0,1.0,1.0,1.0,AS4766,None,None,FALSE,AS4766 korea telecom,6.142.857.142.857.140
179.125.227.136,FALSE,100,BR,Desktop Sigmanet Comunicacao Multimidia SA,desktop.com.br,0,0,2023-06-03T20:41:07+00:00,0.0,LACNIC,Desktop Sigmanet Comunicacao Multimidia SA,64.0,99.0,100.0,76.0,1.0,1.0,1.0,AS28649,None,None,FALSE,AS28649 desktop sigmanet comunicao multimdia sa,62.857.142.857.142.800
179.43.122.214,FALSE,100,AR,Dattatec.com,dattatec.com,0,0,2023-11-30T00:39:51+00:00,-1.0,LACNIC,Dattatec.com,60.0,94.0,99.0,78.0,1.0,2.4,1.0,AS27823,None,None,FALSE,AS27823 dattatec.com,6.157.142.857.142.850
180.101.88.247,FALSE,100,CN,ChinaNet Jiangsu Province Network,chinatelecom.com.cn,0,0,2023-11-08T11:21:32+00:00,-1.0,APNIC,Chinanet,58.0,90.0,98.0,81.0,1.0,2.4,1.0,AS4134,None,None,FALSE,AS4134 chinanet,61.0
180.168.100.230,FALSE,0,CN,ChinaNet Shanghai Province Network,chinatelecom.com.cn,49,32,2024-01-26T05:46:21+00:00,0.0,APNIC,China Telecom Group,58.0,91.0,100.0,78.0,5.7,2.7,1.0,AS4812,None,None,FALSE,AS4812 china telecom (group),47.528.571.428.571.400
182.70.252.174,FALSE,48,IN,Bharti Airtel Ltd.,airtel.in,0,0,2023-12-26T13:15:28+00:00,0.0,APNIC,"Bharti Airtel Ltd., Telemedia Services",56.0,88.0,99.0,80.0,1.0,1.1,1.0,AS24560,None,None,FALSE,AS24560 bharti airtel ltd.,53.142.857.142.857.100
185.161.248.220,FALSE,100,RU,Kisara LLC,kisarallc.msk.ru,0,0,2023-07-06T23:59:07+00:00,0.0,RIPE NCC,Kisara LLC,62.0,97.0,100.0,76.0,1.0,1.0,1.0,AS49202,None,None,FALSE,ASNone,62.285.714.285.714.200
185.69.155.107,FALSE,100,UA,Hosting Ukraine Ltd,ukraine.com.ua,0,0,2023-11-30T00:45:18+00:00,-1.0,RIPE NCC,Hosting Ukraine LTD,62.0,97.0,100.0,76.0,1.0,2.1,1.0,AS200000,None,None,FALSE,AS200000 hosting ukraine ltd,62.142.857.142.857.100
185.88.154.160,FALSE,100,IR,Parsian High Tech Company PJSC,bertina.ir,0,0,2023-06-06T09:42:18+00:00,0.0,RIPE NCC,Parsian High Tech Company PJSC,63.0,98.0,100.0,76.0,1.0,1.0,1.0,AS42043,None,None,FALSE,AS42043 parsian high tech company pjsc,6.257.142.857.142.850
186.96.145.241,FALSE,0,MX,Total Play Telecomunicaciones SA de CV,totalplay.com.mx,3436,67,2024-01-26T18:14:06+00:00,0.0,LACNIC,TOTAL PLAY TELECOMUNICACIONES SA DE CV,59.0,91.0,98.0,81.0,4.3,3.1,2.9,AS22884,AS22884,TOTAL PLAY TELECOMUNICACIONES SA DE CV,FALSE,AS22884 total play telecomunicaciones sa de cv,47.614.285.714.285.700
191.36.156.137,FALSE,96,BR,VipTurbo Comercio & Servicos de Informatica Ltda,brasiltelecom.net.br,16,1,2024-01-17T06:56:31+00:00,0.0,LACNIC,VIPTURBO COMERCIO & SERVICOS DE INFORMATICA LTDA,59.0,92.0,99.0,79.0,1.0,1.0,1.0,AS263333,None,None,FALSE,AS263333 vipturbo comrcio & servios de informtica ltda,60.857.142.857.142.800
194.113.236.177,FALSE,0,RU,MTS PJSC,mtsgsm.com,266,99,2024-01-26T15:38:07+00:00,0.0,RIPE NCC,MTS PJSC,54.0,86.0,100.0,79.0,4.3,2.3,1.0,AS60490,None,None,FALSE,AS60490 mts pjsc,4.618.571.428.571.420
195.226.194.242,FALSE,90,RU,Infolink LLC,informlink.ru,2,1,2024-01-11T20:23:06+00:00,0.0,None,None,0.0,100.0,100.0,100.0,1.0,3.2,1.0,None,None,None,FALSE,ASNone,55.857.142.857.142.800
195.230.103.242,FALSE,0,DE,SecurityTrails LLC,securitytrails.com,894,48,2024-01-26T17:03:48+00:00,0.0,ARIN,"Securitytrails, LLC",60.0,93.0,100.0,78.0,7.1,3.5,1.0,AS211607,None,None,FALSE,AS211607 securitytrails  llc,48.300.000.000.000.000
196.189.118.69,FALSE,100,ET,Ethio Telecom,ethiotelecom.et,0,0,2023-07-12T19:07:23+00:00,-1.0,AFRINIC,Ethiopian Telecommunication Corporation,65.0,97.0,100.0,79.0,1.0,1.0,1.0,AS24757,None,None,FALSE,AS24757 ethionet,63.0
197.199.224.52,FALSE,0,EG,Etisalat Misr,etisalat.com.eg,1479,525,2024-01-26T17:40:57+00:00,-1.0,AFRINIC,Etisalat Misr,55.0,87.0,98.0,81.0,2.9,3.1,1.0,AS36992,None,None,FALSE,AS36992 african network information center,46.128.571.428.571.400
20.151.171.161,FALSE,100,CA,Microsoft Corporation,microsoft.com,0,0,2023-11-01T17:42:56+00:00,-1.0,ARIN,MICROSOFT-CORP-MSN-AS-BLOCK,66.0,98.0,99.0,80.0,1.0,2.2,1.0,AS8075,None,None,FALSE,AS8075 microsoft corporation,63.285.714.285.714.200
210.245.51.208,FALSE,100,VN,FPT Telecom,fpt.com.vn,0,0,2023-07-26T18:09:45+00:00,0.0,APNIC,FPT Telecom Company,63.0,98.0,100.0,76.0,1.0,1.0,1.0,AS18403,None,None,FALSE,AS18403 fpt telecom company,6.257.142.857.142.850
218.145.113.25,FALSE,100,KR,KT Corporation,kt.com,0,0,2023-11-09T10:15:52+00:00,0.0,APNIC,Korea Telecom,62.0,96.0,100.0,77.0,1.4,2.6,1.0,AS4766,None,None,FALSE,AS4766 korea telecom,6.234.285.714.285.710
218.92.0.15,FALSE,100,CN,ChinaNet Jiangsu Province Network,chinatelecom.com.cn,0,0,2023-07-12T19:07:46+00:00,0.0,APNIC,Chinanet,63.0,96.0,99.0,79.0,1.0,1.6,1.0,AS4134,None,None,FALSE,AS4134 chinanet,6.257.142.857.142.850
218.92.0.20,FALSE,100,CN,ChinaNet Jiangsu Province Network,chinatelecom.com.cn,0,0,2023-07-23T18:10:40+00:00,0.0,APNIC,Chinanet,59.0,91.0,100.0,79.0,1.0,2.5,1.0,AS4134,None,None,FALSE,AS4134 chinanet,6.142.857.142.857.140
218.92.0.34,FALSE,0,CN,ChinaNet Jiangsu Province Network,chinatelecom.com.cn,27390,436,2024-01-26T18:17:20+00:00,-2.0,APNIC,Chinanet,56.0,88.0,98.0,81.0,5.7,5.0,5.7,AS4134,None,None,FALSE,AS4134 chinanet,4.667.142.857.142.850
218.92.0.51,FALSE,0,CN,ChinaNet Jiangsu Province Network,chinatelecom.com.cn,9409,235,2024-01-26T18:21:13+00:00,0.0,APNIC,Chinanet,52.0,85.0,98.0,80.0,5.7,4.7,4.3,AS4134,AS4134,CHINANET-BACKBONE,FALSE,AS4134 chinanet,4.581.428.571.428.570
218.92.0.56,FALSE,0,CN,ChinaNet Jiangsu Province Network,chinatelecom.com.cn,27212,441,2024-01-26T18:22:05+00:00,0.0,APNIC,Chinanet,56.0,87.0,98.0,82.0,5.7,4.8,4.3,AS4134,None,None,FALSE,AS4134 chinanet,46.957.142.857.142.800
218.92.0.95,FALSE,0,CN,ChinaNet Jiangsu Province Network,chinatelecom.com.cn,9696,23,2024-01-26T18:24:17+00:00,-1.0,APNIC,Chinanet,56.0,89.0,99.0,79.0,4.3,1.8,1.0,AS4134,None,None,FALSE,AS4134 chinanet,46.614.285.714.285.700
218.92.0.98,FALSE,100,CN,ChinaNet Jiangsu Province Network,chinatelecom.com.cn,0,0,2023-07-12T19:07:47+00:00,1.0,APNIC,Chinanet,58.0,91.0,100.0,78.0,1.0,1.6,1.0,AS4134,None,None,FALSE,AS4134 chinanet,61.285.714.285.714.200
221.213.63.210,FALSE,100,CN,KM-NJW-Primary-School Kunming Yunnan,chinaunicom.com,0,0,2023-09-29T00:11:07+00:00,-13.0,APNIC,CHINA UNICOM China169 Backbone,63.0,97.0,98.0,79.0,2.9,2.4,1.0,AS4837,None,None,FALSE,AS4837 china unicom china169 backbone,6.098.571.428.571.420
27.2.11.114,FALSE,100,VN,Saigon Tourist Cable Television,saigon-tourist.com,0,0,2023-11-09T10:19:57+00:00,0.0,APNIC,SaiGon Tourist cable Televition Company,0.0,100.0,100.0,11.0,1.0,1.0,1.0,AS45543,None,None,FALSE,AS45543 saigon tourist cable televition company,4.457.142.857.142.850
42.2.243.207,FALSE,60,HK,Hong Kong Telecommunications (HKT) Limited,netvigator.com,2,1,2024-01-02T20:33:47+00:00,0.0,APNIC,HKT Limited,63.0,96.0,99.0,79.0,1.0,1.9,1.0,AS4760,None,None,FALSE,AS4760 hkt limited,56.857.142.857.142.800
43.131.244.10,FALSE,100,KR,Tencent Cloud Computing (Beijing) Co. Ltd.,tencent.com,0,0,2023-07-11T11:25:43+00:00,0.0,APNIC,"Tencent Building, Kejizhongyi Avenue",62.0,95.0,99.0,79.0,1.0,1.0,1.0,AS132203,None,None,FALSE,AS132203 tencent building  kejizhongyi avenue,62.285.714.285.714.200
43.134.72.95,FALSE,100,SG,Aceville Pte.Ltd.,tencent.com,0,0,2023-10-26T21:37:01+00:00,0.0,APNIC,"Tencent Building, Kejizhongyi Avenue",64.0,98.0,100.0,77.0,2.9,2.3,1.0,AS132203,None,None,FALSE,AS132203 tencent building  kejizhongyi avenue,63.128.571.428.571.400
43.153.74.45,FALSE,100,US,Tencent Cloud Computing (Beijing) Co. Ltd.,tencent.com,0,0,2023-07-12T19:08:12+00:00,0.0,ARIN,"Tencent Building, Kejizhongyi Avenue",63.0,96.0,99.0,79.0,1.0,1.0,1.0,AS132203,None,None,FALSE,AS132203 tencent building  kejizhongyi avenue,6.257.142.857.142.850
43.156.3.27,FALSE,0,SG,Aceville Pte.Ltd.,tencent.com,1270,483,2024-01-26T17:24:43+00:00,-1.0,APNIC,"Tencent Building, Kejizhongyi Avenue",55.0,88.0,98.0,80.0,2.9,2.7,1.0,AS132203,None,None,FALSE,AS132203 tencent building  kejizhongyi avenue,46.128.571.428.571.400
43.156.60.191,FALSE,100,SG,Aceville Pte.Ltd.,tencent.com,0,0,2023-11-30T01:22:35+00:00,-1.0,APNIC,"Tencent Building, Kejizhongyi Avenue",60.0,93.0,100.0,78.0,1.0,2.4,1.0,AS132203,None,None,FALSE,AS132203 tencent building  kejizhongyi avenue,6.157.142.857.142.850
45.95.147.200,FALSE,100,NL,Alsycon B.V.,alsycon.nl,0,0,2023-08-11T22:10:27+00:00,-2.0,RIPE NCC,Alsycon B.V.,64.0,96.0,100.0,79.0,2.9,2.1,1.0,AS49870,None,None,FALSE,AS49870 alsycon b.v.,6.284.285.714.285.710
47.236.26.196,FALSE,48,SG,Alibaba Cloud LLC,alicloud.com,9,9,2024-01-25T21:32:22+00:00,0.0,APNIC,"Alibaba US Technology Co., Ltd.",57.0,89.0,100.0,79.0,2.9,2.7,1.0,AS45102,None,None,FALSE,ASNone,53.699.999.999.999.900
50.225.176.238,FALSE,0,US,Comcast Cable Communications LLC,comcast.net,1488,540,2024-01-26T17:24:08+00:00,-1.0,ARIN,COMCAST-7922,56.0,87.0,99.0,81.0,2.9,4.1,4.3,AS7922,None,None,FALSE,AS7922 comcast,4.641.428.571.428.570
52.172.30.44,FALSE,0,IN,Microsoft Corporation,microsoft.com,1226,466,2024-01-26T16:03:04+00:00,-1.0,APNIC,MICROSOFT-CORP-MSN-AS-BLOCK,57.0,89.0,98.0,81.0,2.9,3.6,4.3,AS8075,None,None,FALSE,AS8075 microsoft corporation,46.699.999.999.999.900
60.188.57.71,FALSE,100,CN,ChinaNet Zhejiang Province Network,chinatelecom.com.cn,0,0,2023-06-25T21:04:30+00:00,0.0,APNIC,CT-HangZhou-IDC,63.0,98.0,100.0,76.0,1.0,1.4,1.0,AS58461,None,None,FALSE,AS58461 ct-hangzhou-idc,6.257.142.857.142.850
61.2.224.84,FALSE,100,IN,Bharat Sanchar Nigam Limited,bsnl.in,0,0,2023-11-30T01:35:24+00:00,-1.0,APNIC,National Internet Backbone,62.0,95.0,99.0,79.0,2.9,3.1,1.0,AS9829,None,None,FALSE,AS9829 national internet backbone,6.241.428.571.428.570
66.240.236.116,FALSE,0,US,CARInet Inc.,cari.net,869,198,2024-01-26T06:25:55+00:00,-6.0,ARIN,CARINET,54.0,86.0,99.0,80.0,2.9,4.8,7.1,AS10439,None,None,FALSE,AS10439 carinet  inc.,45.128.571.428.571.400
75.27.151.14,FALSE,100,US,AT&T Corp.,att.com,0,0,2023-06-05T13:54:22+00:00,0.0,ARIN,ATT-INTERNET4,65.0,97.0,100.0,79.0,1.0,1.0,1.0,AS7018,None,None,FALSE,AS7018 att services inc,63.142.857.142.857.100
8.219.237.142,FALSE,100,SG,Alibaba Cloud (Singapore) Private Limited,alicloud.com,0,0,2023-07-19T06:14:17+00:00,-1.0,APNIC,"Alibaba US Technology Co., Ltd.",63.0,96.0,100.0,78.0,1.0,1.0,1.0,AS45102,None,None,FALSE,AS45102 alibaba (us) technology co.  ltd.,6.242.857.142.857.140
8.219.250.100,FALSE,100,SG,Alibaba Cloud (Singapore) Private Limited,alicloud.com,0,0,2023-11-30T01:42:23+00:00,-1.0,APNIC,"Alibaba US Technology Co., Ltd.",65.0,97.0,100.0,79.0,1.0,1.0,1.0,AS45102,None,None,FALSE,AS45102 alibaba (us) technology co.  ltd.,63.0
